@relation InstanceResultListener

@attribute Key_Dataset {Atributos10,Atributos2,Atributos3,Atributos4,Atributos5,Atributos6,Atributos7,Atributos9}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.trees.RandomForest,weka.classifiers.trees.RandomTree}
@attribute Key_Scheme_options {'-C 0.25 -M 2','-P 100 -I 20 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-P 100 -I 60 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-K 0 -M 1.0 -V 0.001 -S 1'}
@attribute Key_Scheme_version_ID {-217733168393644444,1116839470751428698,-9051119597407396024}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 46\nSize of the tree: 91\n','Number of leaves: 29\nSize of the tree: 57\n','Number of leaves: 38\nSize of the tree: 75\n','Number of leaves: 42\nSize of the tree: 83\n','Number of leaves: 41\nSize of the tree: 81\n','Number of leaves: 36\nSize of the tree: 71\n','Number of leaves: 35\nSize of the tree: 69\n','Number of leaves: 24\nSize of the tree: 47\n','Number of leaves: 33\nSize of the tree: 65\n','Number of leaves: 31\nSize of the tree: 61\n','Number of leaves: 28\nSize of the tree: 55\n','Number of leaves: 23\nSize of the tree: 45\n','Number of leaves: 30\nSize of the tree: 59\n','Number of leaves: 44\nSize of the tree: 87\n','Number of leaves: 34\nSize of the tree: 67\n','Number of leaves: 40\nSize of the tree: 79\n','Number of leaves: 37\nSize of the tree: 73\n','Number of leaves: 26\nSize of the tree: 51\n','Number of leaves: 43\nSize of the tree: 85\n','Number of leaves: 39\nSize of the tree: 77\n','Number of leaves: 22\nSize of the tree: 43\n','Number of leaves: 16\nSize of the tree: 31\n','Number of leaves: 32\nSize of the tree: 63\n','Number of leaves: 25\nSize of the tree: 49\n','Number of leaves: 21\nSize of the tree: 41\n','Number of leaves: 20\nSize of the tree: 39\n','Number of leaves: 15\nSize of the tree: 29\n','Number of leaves: 17\nSize of the tree: 33\n','Number of leaves: 18\nSize of the tree: 35\n','Number of leaves: 13\nSize of the tree: 25\n','Number of leaves: 14\nSize of the tree: 27\n','Number of leaves: 19\nSize of the tree: 37\n','Number of leaves: 27\nSize of the tree: 53\n','Number of leaves: 47\nSize of the tree: 93\n','Number of leaves: 45\nSize of the tree: 89\n','Number of leaves: 59\nSize of the tree: 117\n','Number of leaves: 57\nSize of the tree: 113\n','Number of leaves: 55\nSize of the tree: 109\n','Number of leaves: 62\nSize of the tree: 123\n','Number of leaves: 54\nSize of the tree: 107\n','Number of leaves: 48\nSize of the tree: 95\n','Number of leaves: 60\nSize of the tree: 119\n','Number of leaves: 63\nSize of the tree: 125\n','Number of leaves: 49\nSize of the tree: 97\n','Number of leaves: 53\nSize of the tree: 105\n','Number of leaves: 58\nSize of the tree: 115\n','Number of leaves: 50\nSize of the tree: 99\n','Number of leaves: 12\nSize of the tree: 23\n','Number of leaves: 7\nSize of the tree: 13\n','Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 11\nSize of the tree: 21\n','Number of leaves: 9\nSize of the tree: 17\n','Number of leaves: 10\nSize of the tree: 19\n','Number of leaves: 8\nSize of the tree: 15\n','Number of leaves: 6\nSize of the tree: 11\n','Number of leaves: 4\nSize of the tree: 7\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric

@data

Atributos10,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190613.1756,540,60,60,0,0,100,0,0,1,0,0,0,0,60,0,60,1,0,1,60,1,100,1,30,0,0,1,30,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.049,0,0.046875,0,46.875,0,5624,265470,32670,100,50,'Number of leaves: 2\nSize of the tree: 3\n',3,2,2,?
Atributos10,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190613.1756,540,60,60,0,0,100,0,0,1,0,0,0,0,60,0,60,1,0,1,60,1,100,1,30,0,0,1,30,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.016,0.001,0.015625,0,15.625,0,5624,265470,32670,100,50,'Number of leaves: 2\nSize of the tree: 3\n',3,2,2,?
Atributos10,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190613.1756,540,60,60,0,0,100,0,0,1,0,0,0,0,60,0,60,1,0,1,60,1,100,1,30,0,0,1,30,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.013,0.001,0.015625,0,15.625,0,5624,265470,32670,100,50,'Number of leaves: 2\nSize of the tree: 3\n',3,2,2,?
Atributos10,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190613.1756,540,60,60,0,0,100,0,0,1,0,0,0,0,60,0,60,1,0,1,60,1,100,1,30,0,0,1,30,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.014,0,0.015625,0,15.625,0,5624,265470,32670,100,50,'Number of leaves: 2\nSize of the tree: 3\n',3,2,2,?
Atributos10,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190613.1756,540,60,60,0,0,100,0,0,1,0,0,0,0,60,0,60,1,0,1,60,1,100,1,30,0,0,1,30,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.017,0,0,0,0,0,5624,265470,32670,100,50,'Number of leaves: 2\nSize of the tree: 3\n',3,2,2,?
Atributos10,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190613.1756,540,60,59,1,0,98.333333,1.666667,0,0.966667,0.016667,0.129099,3.333333,25.819889,60,1074,-1014,1,17.9,-16.9,58,0.966667,96.666667,1,30,0.033333,1,0.966667,29,0,0,0.967742,1,0.983607,0.967204,0.983333,0.967742,0.983333,0.016667,0.983333,0.016667,0.983871,0.983333,0.983329,0.967204,0.983333,0.975538,0.983329,0.983333,0.017,0,0.015625,0,15.625,0,5624,265470,32670,98.333333,50,'Number of leaves: 2\nSize of the tree: 3\n',3,2,2,?
Atributos10,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190613.1756,540,60,60,0,0,100,0,0,1,0,0,0,0,60,0,60,1,0,1,60,1,100,1,30,0,0,1,30,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.019,0,0.015625,0,15.625,0,5624,265470,32670,100,50,'Number of leaves: 2\nSize of the tree: 3\n',3,2,2,?
Atributos10,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190613.1756,540,60,60,0,0,100,0,0,1,0,0,0,0,60,0,60,1,0,1,60,1,100,1,30,0,0,1,30,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.03,0,0.015625,0,15.625,0,5624,265470,32670,100,50,'Number of leaves: 2\nSize of the tree: 3\n',3,2,2,?
Atributos10,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190613.1756,540,60,60,0,0,100,0,0,1,0,0,0,0,60,0,60,1,0,1,60,1,100,1,30,0,0,1,30,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.013,0,0.015625,0,15.625,0,5624,265470,32670,100,50,'Number of leaves: 2\nSize of the tree: 3\n',3,2,2,?
Atributos10,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190613.1756,540,60,60,0,0,100,0,0,1,0,0,0,0,60,0,60,1,0,1,60,1,100,1,30,0,0,1,30,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.014,0,0.015625,0,15.625,0,5624,265470,32670,100,50,'Number of leaves: 2\nSize of the tree: 3\n',3,2,2,?
Atributos10,2,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190613.1756,540,60,60,0,0,100,0,0,1,0,0,0,0,60,0,60,1,0,1,60,1,100,1,30,0,0,1,30,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.011,0,0,0,0,0,5624,265470,32670,100,50,'Number of leaves: 2\nSize of the tree: 3\n',3,2,2,?
Atributos10,2,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190613.1756,540,60,60,0,0,100,0,0,1,0,0,0,0,60,0,60,1,0,1,60,1,100,1,30,0,0,1,30,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.012,0,0.015625,0,15.625,0,5624,265470,32670,100,50,'Number of leaves: 2\nSize of the tree: 3\n',3,2,2,?
Atributos10,2,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190613.1756,540,60,60,0,0,100,0,0,1,0,0,0,0,60,0,60,1,0,1,60,1,100,1,30,0,0,1,30,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.01,0,0,0,0,0,5624,265470,32670,100,50,'Number of leaves: 2\nSize of the tree: 3\n',3,2,2,?
